AmazonAvailability,Title,Description,SalesRank,ASIN,Category_ID
no Amazon offer exists,"Kaito KA350GY Voyager Trek Solar/Crank AM/FM/SW NOAA Weather Radio with 5-LED Flashlight, Gray","Specifically designed for emergency & disaster preparedness, the KA350 Voyager Trek offers different methods to power itself. Those methods include AC/DC adapter (optional), three AAA batteries (not included) and the built-in rechargeable Ni-MH battery which can be charged from the AC adapter, by hand cranking, by solar panel or even by a PC. The solar panel not only can keep the built-in battery fully charged but also provides power for the radio even when no battery is installed. With its revolutionary design and versatile functions, it's an ideal companion for emergency preparedness purposes, outdoor activities as well as traveling. Similar to its sister product KA500, the KA350's rechargeable batteries are replaceable, extra battery packs are available for purchasing on Kaito's website. At the heart of the KA350, there is an internal generator that recharges the internal Ni-MH battery pack and powers the radio & the flashlight. On the side of the radio, there's a USB jack for charging your cell phones, MP3 players and other gadgets. You can use the KA350 to receive a wide range of broadcasting including AM, FM, shortwave and NOAA weather stations. The 7-weather channels are pre-programmed and numbered from 1-7, you can easily and conveniently tune into the stations by adjusting the switch, no more guess work involved. Accessories include earphones, user manual & warranty registration card.",448813,B0044GCZOK,2
no Amazon offer exists,Eton FR300 Emergency Crank Radio (Discontinued by Manufacturer),"Amazon.com

With a dependable hand-crank power generator that powers the unit's AM/FM/TV/Weather radio, built-in LED flashlight, cell phone charger and emergency siren, the lightweight and portable Etón FR300 is an excellent and economical choice for anyone in the market for a radio that can be relied on in emergencies or in environments where there are limited power sources.

If you want a water-resistant radio, check out the FR 400.

Power When You Need It
At the heart of all of Etón's emergency radios, including the FR300, is an internal generator that recharges the internal Ni-MH battery pack and powers the radio, siren, and light. Also, by plugging your cell phone into the jack on the back of the radio, you can use the crank to power your phone. In our test, after draining our cell phone of power, we recharged it using the FR300 enough to make a few calls. The rate of cell phone recharging will vary greatly depending on the cell phone and the state of its battery, but the FR300 can provide your compatible p! hone with power in a pinch.

Important Note: Until this year, Etón provided a package of several different cell phone adapter tips with every radio. In 2007, Etón began instead including a coupon for a free adapter for whatever phone you have. So, the first thing you want to do when you get the radio is fill out the card with your cell phone's make and model and send it in to make sure you have your adapter.
According to the product manual, to achieve 40 to 60 minutes of uninterrupted power to the radio, you must turn the crank at a rate of two revolutions per second for 90 seconds. In our test, after our initial 90 seconds of rigorous cranking, the FR300 powered right up and was still going strong with radio reception after an hour. At the hour mark, we briefly turned the flashlight on, and that too was at full force, with no perceivable drain on radio reception. In fact, the FR300 was still going strong over 75 minutes after we recharged t! he battery pack. The FR300 can also be powered via an AC adapt! er which , to our dismay, is not included, or from three AA batteries, also not included. The dynamo crank tucks itself nicely into the side of the radio and offers little resistance as you turn the handle. (Don't let the cranking requirements frighten you! While it's true that a full 90 seconds of turning the crank can be tiring and may not be for everyone, we were able to recharge the radio with less than a minute of cranking and achieved over 40 minutes of continuous power.)
Design and Controls
At slightly more than a pound in weight, and with dimensions of 6.5 x 6.00 x 2.5 inches (WxHxD), the FR300 is made to be tucked neatly into its handy nylon carrying case, and stored in an emergency box, or packed neatly for a camping trip. A white LED light is set on the front of the radio, just to the side of the analog tuner. The light is designed to help you down an unlit stairwell or enclosed hallway in a pinch, but it is not directed or strong enough to help you much in a pitch-black forest or other open area. The FR300 also includes a red flash! ing LED light that can be used as a distress signal. The radio and light can be operated simultaneously, though of course at the expense of power.

The FR300 includes a handy strap on the top of the radio for easy carrying, and the tuning and volume knobs are set to the side. The mechanical controls are extremely visible and easy to use. The volume control is a bit difficult to finesse, while the tuning knob, which features a smaller concentric fine-tuning control knob, is much easier. An earphone jack is set into the back, and the telescoping antenna tucks neatly behind the handle strap. The radio's 2.5-inch speaker is set directly in front and offers reasonable audio quality and surprising power for the radio's purpose. The tuner itself is self-illuminated, though in a darkened environment it is still difficult to pick out the bands.
Tuning and Bands
The FR300 offers AM/FM r",377257,B0006G0II2,2
no Amazon offer exists,10 Standard Empty Clear Replacement CD Jewel Boxes with Clear Inner Trays (Assembled) #CDBIS10CL,"Replace those old, damaged & scratched cases with these crystal clear jewel boxes & trays! Broken trays can lead to the disc sliding around in the box which causes damage, so by replacing your trays and jewel boxes you not only protect your collection but it will look so much better in new jewel boxes!",993674,B000TMAR5C,2
no Amazon offer exists,Audio Technica ATH-ANC9 Active Noise Canceling Headphones (Japan Import),"Audio-Technica’s ATH-ANC9 QuietPoint headphones use proprietary active noise-cancelling technology to provide a comfortable listening environment in areas with high ambient noise. Delivering noise cancellation up to a remarkable 95%, the ATH-ANC9 QuietPoint headphones feature Audio-Technica’s new Tri-Level Cancellation. Mode 1, ideal for use on airplanes, trains and buses, applies maximum noise cancellation to low frequencies. Mode 2, designed especially for use in noisy offices or crowded places, targets the mid-range frequencies, while Mode 3 creates a pristine, peaceful environment ideal for study. The headphones feature four miniature microphones, two in each earpiece, that pick up ambient noise and create a sound-cancelling signal to effectively block the noise. The ATH-ANC9 headphones also offer a cable with an inline microphone and controller for answering calls and controlling music. The mic and controller support select products, including iPhones, iPads, and many iPods. The microphone has an omnidirectional pickup pattern and it is designed for crisp intelligibility, so your voice will be clearly transmitted without having to speak directly into the mic. These headphones are designed to offer you crystal-clear sound that makes Audio-Technica the choice of leading artists worldwide. Wherever you happen to find yourself in the comfort of your living room, in a noisy office, or settling in for a long flight there is no better way to experience audio or immerse yourself in a peaceful environment.",557189,B0077YTFPS,1
no Amazon offer exists,Sennheiser Momentum 2.0 On-Ear Wireless with Active Noise Cancellation - Black,"The new Sennheiser MOMENTUM On-Ear Wireless lets you experience crystal-clear MOMENTUM sound without being attached to a cable. This high-resolution headset sets the benchmark for performance, style and comfort in the wireless headphone category. Bluetooth technology is integrated with engineering expertise to insure MOMENTUM signature sound remains intact. Near Field Communication (NFC) is provided for effortless “at a touch” Bluetooth pairing with any NFC-enabled device. Further enhancing the audio experience is Noise Gard hybrid active noise cancellation that virtually eliminates unwanted ambient sound. Your voice will sound crystal clear during phone calls thanks to ; dual built-in microphones that dynamically cancel out external interference for perfect speech intelligibility. MOMENTUM On-Ear Wireless features an iconic design using premium components like a stainless steel headband and luxurious Alcantara covered ear cushions. The stainless steel headband is now foldable for easy and compact storage in the supplied premium carry case. You can enjoy MOMENTUM On-Ear Wireless everywhere!",399911,B00SOM7XJC,1
no Amazon offer exists,Creative Zen Mozaic 4 GB MP3 Player (Black),"Amazon.com      Buck the trend and create your own style with the eye-catching Zen Mozaic. Available in 2 GB, 4 GB, 8 GB, and 16 GB capacities, the player sports a mosaic keypad--a one-of-a-kind design that helps you stand out from the crowd instantly. Distinctive in form and cool in function, play back your photos in sharp clarity on the 1.8-inch screen while tuning in to your favorite music hits. Its time to play a different tune; its time for the Zen Mozaic. Buck the trend and create your own style with the eye-catching Zen Mozaic. Click to enlarge.Play back your photos in sharp clarity on the 1.8-inch screen while tuning in to your favorite music hits. Click to enlarge.Sleek and slim at just a half-inch deep, the Zen Mozaic weighs in at a mere 1.5 ounces. Click to enlarge.The 2 GB players are available in black and pink; the 4 GB players come in black, pink, and silver; and the 8 GB and 16 GB players rock in black. Click to enlarge.Bold Unique Design Make your own individual statement with the Zen Mozaic. Trendy and distinctive, the Zen Mozaic is a striking sight to behold for on-the-move entertainment. Theyre available in black, silver, and pink, so get a color to match your bold and fun-loving personality. You can even share the latest chart-toppers out loud with the Zen Mozaic's powerful built-in speaker. Or view photos on the sharp 1.8-inch TFT display while listening to your favorite music. Tons of Features Power-packed with dynamic features, entertainment on the go has never been so palatable. Handy and lightweight, bring the Zen Mozaic with you and get non-stop entertainment, including about 32 hours of continuous audio playback. (Time is based on usage with bundled earphones. Actual battery life will vary with use of different earphones. Battery life when using speaker will be less.) Use it to display the time, as a handy alarm clock, or even to view your calendar and contacts. Maximize it as an external storage device to store important files and documents. Stay in touch with everyday news and get traffic updates with the integrated FM radio. Take your pick from the 32 station presets in the player. Create and record voice memos wherever you are. Play them back at your convenience anytime you want. Wide Audio Support Listen to your music in multiple supported formats, such as MP3, WMA, and Audible 4. Download Creative Centrale to rip, transfer, and manage your media content easily. Set audio effects to enhance your overall music listening experience. Choose from eight EQ presets or customize your own EQ, and enhance it all with bass boost and smart volume effects. Get ZENcast Enjoy the ultimate collection of free video and audio podcast channels on www.zencast.com. Manage all of your favorite subscriptions with ZENcast Organizer and experience the best of the free-to-share formats available. What's in the Box Creative Zen Mozaic 4 GB MP3 Player (Black), quick start leaflet, printed warranty, software installation (mini CD), earphones, USB cable      Product description      Enjoy the exceptional value of this incredibly fun, uniquely stylish, and fully featured MP3 player. Carry your treasured music collection, funny video clips, and family photo slideshows with you everywhere and with the touch of a button, share them with your friends. Voice Recorder with its built-in microphone lets you conveniently record quick reminders, notes, and lectures 8 EQ settings (Acoustic, classical, disco, jazz, new age, pop, rock and vocal) Audio Playback Format - MP3, WMA, WAV and Audible Video Playback Format - Transcoded video format Voice Recorder Shortcut Button Syncs contacts, calendar and tasks Alarm and clock Stopwatch Countdown Timer Volume Restriction Control System Requirements - Microsoft Windows XP (Service Pack 2 or higher), XP 64-bit, Microsoft Windows Vista, and USB 1.1 port (USB 2.0 recommended) Dimensions - Width 3.1 x Height 1.6 x Depth 0.5 Weight - 0.1 pounds",691148,B001D23QKA,2
no Amazon offer exists,Denon AVR-1612 5.1 Channel AV Home Theater Receiver,"From the Manufacturer

The Denon AVR-1612 5.1 Home Theater Receiver delivers exceptional performance and convenient features in a home theater centerpiece. Offering the latest inputs, this powerful receiver features advanced processing that brings out the best in your Blu-ray/DVD players, game consoles, and other entertainment devices. The AVR-1612 supports high-resolution audio formats, including Dolby TrueHD and DTS-HD, for a dynamic surround-sound listening experience. It also supports HDMI v1.4a, allowing you to get the most out of 3D content. Enhanced by direct digital connectivity for iPhone/iPad/iPod via the front panel USB, and including an optional networking dock connectivity option for iPod and iPhone, the AVR-1612 offers an exceptional foundation for your home theater system.
Premium Audio Technologies for Superb Surround Sound
Fully compatible with current HD audio formats, the Denon AVR-1612 5.1-Channel A/V Receiver provides powerful, theater-quality surround sound. It ensures maximum audio performance with multiple technologies:
Full HD Support
With four HDMI inputs, the AVR-1612 allows you to route multiple high-definition devices--like game consoles and Blu-ray players--to your TV. It also allows you to connect all of your devices to your TV with a single HDMI cable, reducing cable clutter.
Vivid 3D Visuals with HDMI v1.4a
The AVR-1612 comes equipped with HDMI v1.4a, allowing you to make the most of several premium video features:
iPod Connectivity
With a built-in USB port, the AVR-1612 supports digital music playback from an iPod, iPhone, iPad, or USB drive. The receiver can also be used with the Denon Networked Control Dock (sold separately) for network streaming or docking your iPod/iPhone. A compressed audio restorer guarantees that standard MP3 playback is crisp and clear.
GUI Overlay and Remote Control for Simple Operation
With its programmable functions and intuitive button layout, the AVR-1612 is designed for ease of use. The front panel is smartly organized, featuring clearly labeled buttons and onboard controls for volume and source. In addition, its on-screen display provides quick information about your system's settings.
The AVR-1612's simple remote control is easy to use, giving you more flexibility in controlling your home theater.
Product and Warranty Information
The receiver measures 6-3/8 by 17-1/8 by 15-3/64 inches (H x W x D), and weighs 20-1/2 pounds.
The Denon AVR-1612 5.1 Channel A/V Home Theater Receiver is backed by a two-year warranty.
What's in the Box
AVR-1612 5.1-Channel A/V Receiver, remote control, AA batteries, setup microphone, AM loop antenna, FM indoor antenna, and owner's manual.
75 watts per channel (20Hz-20kHz, 8 ohms, .08% THD), 120 watts per channel (1kHz, 6 ohms)",548497,B004U403WM,2
no Amazon offer exists,"14AWG Speaker Wire, GearIT Pro Series 14 AWG Gauge Speaker Wire Cable (50 Feet / 15.24 Meters) Great Use for Home Theater Speakers and Car Speakers White",Overview: GearIT Professional Grade Premium High Quality Speaker Wire Cable. The GearIT Professional Grade Premimun High Quality Speaker Wire Cable is designed to provide high quality signal from A/V receiver to speaker. Wire is rolled on spool for easy and convenient installation. Warranty: Lifetime Replacement Warranty.,26294,B00HZWYRZU,2
no Amazon offer exists,"Panasonic SL-SV590W Personal CD/MP3 Player with D.sound Technology, White","Amazon.com

Measuring just under an inch thick and weighing less than half a pound, the Panasonic SL-SV590W personal CD player is a great fit whether you're working out at the gym, commuting on the train, or listening at home in the bedroom. The cover boasts a sleek white finish that's complemented by the pair of matching headphones, which sport a white headband of their own. More significantly, the unit plays more than just prerecorded CDs, with compatibility for both CD-R/RW discs and compressed MP3 files burned onto a CD-R/RW. The expanded playback options give users access to far more of their digital music library each time they leave the house. Active users will also appreciate the anti-skip protection and its related backup memory function, which combine to ensure a disruption-free listening experience whether you're driving or jogging.
At the core of the SL-SV590W's audio performance is Panasonic's advanced D.sound technology, which comprises four main components: a digital amplifier that reduces distortion for a clearer overall sound; the bass-enhancing capacity of S-XBS super bass boost and the digital audio gain control; and an MP3 remastering function that restores much of the lost fidelity of compressed MP3 audio files. The system also kicks up the bass performance inside your headphones with its H.Bass technology, which reproduces the harmonic series of bass components that traditionally vanish within smaller speaker drivers. H.Bass gives the listener the sensation of a fuller bass sound even though it doesn't actually exist.
Another nice feature is the SL-SV590's digital FM tuner, which lets you catch your favorite music, NPR, or public radio stations. Add in the unit's extra-long playback times--which extend up to 75 hours for MP3s and 33 hours for CDs on just two AA alkaline batteries (not included)--and you have a great CD player for long road trips or marathon workouts.
What's in the Box
SL-SV590W CD player, headphones, user's manual.

Product description

The Panasonic SL-SV590 Portable CD Player lets you take a personal spundtrack wherever you go. Enjoy your music even on those bumpy rides, with the anti-skip system. Audio always sounds perfect with D.SOUND technology, S-XBS and D-AGC sound. Remastering for MP3 sound H.Bass (Harmonized Bass) for dynamic bass sound Playback Time - Up to 75 hours MP3; up to 33 hours CD-DA Included D.SOUND headphones Sleek, round design Color - White",615126,B000EO55T8,2
no Amazon offer exists,Panasonic SL-MP70 Portable CD/MP3 Player,"Amazon.com

Enjoy music with the freedom that comes from MP3 CD playback, extended battery life, and high-powered anti-skip technology. Panasonic's exclusive No-Skip technology helps prevent interruptions from jostling during active use. No Skip's unique construction uses rubber brushings to absorb shock, while an anti-skip mechanism and an anti-skip digital servo further prevent read errors. A 48-second memory reserve provides added back up.
Now, battery changes will be fewer and farther between thanks to Panasonic's PowerLast high-efficiency power system, which combines an efficient motor with low-load circuitry for playback time of up to 48 hours on two AA batteries (during MP3 playback). CD playback abilities include ID3 tag support (displays artist names and song titles with properly formatted sound files); 24-track random-access programming; repeat and resume (which picks up where the unit left off when last stopped); and skip/search and memory/recall. A hold switch prevents accidental starting, stopping, or track skipping during use or transport. The unit boasts a thin design with operation keys and LCD laid out logically on its top cover.

Product Description

Two AA batteries are all it takes to play your MP3s for up to 48 hours with this versatile Panasonic portable CD player. This full-function portable CD player also plays CD-R and RW formats. Other features include a no-skip anti-skip system that virtually eliminates CD skipping, backup memory system (100 seconds for MP3; 45 seconds for CD-DA), dot matrix display, heat-resistant polycarbonate body, pop-up disk eject system and ID3 tagging to display titles, artist names and album names while MP3 music is being played. Headphones included. No. SLMP70. Imported. 1Hx5"" dia.",623009,B00008IP5P,2
no Amazon offer exists,VCT VOD 1500 2Way -1500 Watts Heavy Duty 110V-220V Step Up/Down Voltage Transformer Converter for Worldwide Use,"1500 Watt maximum capacity heavy-duty continuous use transformers Converts 110/120 V to 220/240 Volt OR Converts 220/240 V to 110/120 V » One grounded outlet in front of unit (accepts 3 or 2 prong US and Euro plugs) » Hard wired with a European Shucko plug also good for Asian outlets » Built-in fuse protection » Durable design with a heavy-duty cord Weight: 22 Lbs Dimensions(LxBxH): 8"" X 9"" X 7"" Transformer Purchase Guide: Remember to leave at least a 100% slack for the transformer. For the TVs, the power surge margin is 5 times the wattage of the TV. Heating appliances, laser printers and power tools spike when you turn them on. For these products you need to buy a transformer that is at least 3 times the items capacity.",1196703,B000MY5E2S,1
no Amazon offer exists,LG AG-F216 Cinema 3D Glasses Family Pack (6-Pairs) for 2011 and Up,"Enough Cinema 3D glasses for the whole family, this product includes one set of glasses for him, one set for her, two clip-on glasses and two glasses for children. All glasses are compatible with LG's LW5600, LW5700 and LW6500 family of Cinema 3D TVs.",204144,B005EWTKN2,2
no Amazon offer exists,Lepai LP-168HA 2.1 2x40W Mini Amplifier + 1x68W Sub Output,"Lepai's LP-168AH 2.1 amplifier is the perfect computer partner it provides up to 40 watts of power output to stereo speakers, in combination with a second dedicated subwoofer output capable of up to 68 watts of amplifier output. Bass, treble, and volume controls on the front of the amplifier let you adjust your music for the best possible sound from your speakers. The discrete subwoofer output is controlled separately from the stereo output, with controls for level adjustment and crossover adjustment found on the amplifier's face. Audio source connectivity is provided via a front-mounted stereo 3.5 mm jack, or a stereo pair of RCA jacks on the rear of the amplifier. A rear-mounted USB port enables charging of devices such as smart phones and MP3 players. The wide input voltage range of 9 to 14.4 VDC allows the LP-168AH to be used in automotive or mobile applications. Power supply included. Specifications: ; Stereo power output: 2 x 40W max (power output dependent upon power supply) ; Subwoofer power output: 1 x 68W max (power output dependent upon power supply) ; Power requirements: 9 to 14.4 VDC, 5A ; DC power input jack: 2.1 mm x 5.5 mm ; Bass and treble control ; Stable down to 2 ohms ; Minimum THD: <1% ; Signal-to-noise ratio: >80 dB ; Frequency response: 20-20,000 Hz ; Adjustable subwoofer crossover: 50-200 Hz ; Dimensions (including mounting flange): 7 W x 4 L x 1-3/4 H.",126736,B0070Z87YO,1
no Amazon offer exists,Rockford Fosgate RFIF2SW Speaker Line To Female RCA Adapter,This high level speaker wire to RCA adaptor is an economic way to connect a factory OEM source unit to an amplifier.,66370,B00G352P2C,2
no Amazon offer exists,"New Retail Package- Black Hi-Fi Over-Ear Smart Stereo Wireless Bluetooth 4.0 Headphones with Microphone for Mobile Cell Phone Laptop PC Tablet, Such as Works w/iPod, iPad, iPhone, Android Devices","This is 2nd generation Bluetooth 4.0 Headphones.
Now have updated the Hardware and Firmware to fix all the past issues. and also updated to Bluetooth 4.0 Technology(Bluetooth 4.0 technology is 8 times the bandwidth comparing with the Bluetooth 2.1 standard).

This Beyution Bluetooth 4.0 headphones with 40mm speaker, and Noise reduction technology, Talk clearly, Best audio performance
With a 40mm speaker driver unit, enjoy bluetooth stereo and hands free.

Product Features

Bluetooth standards:
Bluetooth V4.0 , CSR solution,HSP,HFP,A2DP,AVRCP; Wirelessly connect to Apple iPhone 5s/5c/4s/4c/3/2 iPAD iPod, Android Smart phone; Samsung Galaxy S5/S4/S3 Note2/3; Galaxy Tablet; Nokia Toshiba Sony and BlackBerry Smart phone and devices; Apple Mac;PC; laptops ;Tablet and desktops.

Built-in microphone
Talking with phone clearly, and built Noise cancellation technology.

3.5mm audio jack
Not only Wireless, also can use as wired headphone

40mm drivers
Along with neodymium magnets produce deep, enhanced bass and full-range sound for dynamic audio.

Sound-isolating design
Built-in rechargeable lithium-polymer battery enables up to 7 hours of talk time or audio playback.

Carrying pouch
Protects the headphones during transport and storage.

20Hz - 20kHz frequency response
Offers faithful sound reproduction.
64 ohms impedance

Space-saving foldable headband
Allows simple transport and storage in the included hard travel case.
Included Micro USB charge cable
Passive noise reduction
Up to 15dB blocks background sounds for an immersive listening experience. Noise Cancellation technology, clear call quality.
119dB sensitivity (@ 1kHz)",491647,B00D55ZHYG,1
