index,age,race,sex,education,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,y
47,31,4,1,9,4,5,1,32,4,98639,13,0,0,40,0
48,49,4,0,9,6,4,4,32,6,47086,13,0,0,40,0
49,47,4,0,9,2,9,5,32,4,287828,13,0,0,40,1
50,23,4,0,9,4,2,1,32,4,117789,13,0,0,60,0
51,37,4,1,9,2,2,0,32,4,348739,13,0,0,45,1
52,34,4,1,11,2,8,0,0,5,207668,9,0,0,54,1
53,25,4,1,15,2,3,0,32,7,153534,10,0,0,40,0
54,43,2,0,11,2,12,5,31,4,122975,9,0,0,21,0
55,32,4,0,11,4,11,1,32,4,101283,9,0,0,35,0
56,57,4,1,11,2,4,0,32,4,301514,9,0,0,40,0
57,49,4,1,12,2,9,0,32,4,281647,14,0,0,45,1
58,23,4,0,15,4,1,1,32,4,288771,10,0,0,30,0
59,35,4,1,11,2,8,0,32,6,278632,9,0,0,40,0
60,51,4,0,15,0,2,1,32,7,194475,10,0,0,40,0
61,53,4,1,11,2,1,0,32,1,68985,9,0,0,40,0
62,25,4,0,11,2,0,5,32,0,344719,9,0,0,4,0
63,20,4,0,15,4,9,3,32,4,85041,10,0,0,20,0
64,43,4,1,8,2,8,0,32,4,373403,11,0,0,40,0
65,24,4,1,11,2,12,0,32,4,275395,9,0,0,50,0
66,51,4,0,9,0,2,1,32,4,357949,13,0,0,16,0
67,27,2,1,11,4,1,3,32,4,297457,9,0,0,40,0
68,60,4,1,9,2,2,0,32,2,124987,13,7298,0,40,1
69,37,4,1,12,2,3,0,32,2,99935,14,7688,0,50,1
70,17,4,1,0,4,13,3,11,4,365613,6,0,0,10,0
71,23,4,1,11,2,13,0,32,4,27776,9,0,0,40,0
72,37,4,0,15,0,5,4,32,4,166339,10,0,0,40,0
73,23,3,1,15,4,9,3,21,4,481175,10,0,0,24,0
74,30,4,1,11,2,12,0,32,4,91145,9,0,0,40,0
75,56,4,1,15,2,12,0,32,4,178202,10,0,0,40,0
76,35,0,1,15,4,12,2,32,4,197719,10,0,0,40,0
77,21,4,1,15,4,13,3,32,4,300812,10,0,0,25,0
78,31,4,0,11,0,12,4,32,4,243142,9,0,0,40,0
79,46,4,1,9,2,9,0,32,7,248895,13,0,0,40,1
80,33,2,0,15,4,9,1,32,4,123920,10,0,0,40,0
81,41,4,1,14,2,2,0,32,4,35166,15,15024,0,50,1
82,40,4,1,11,3,11,1,24,4,149102,9,2174,0,60,0
83,33,4,1,12,4,9,1,32,4,100882,14,0,0,40,1
84,41,4,0,4,3,14,1,18,4,235167,3,0,0,32,0
85,35,4,1,11,2,6,0,32,4,201328,9,0,0,50,0
86,26,1,1,11,2,3,0,32,7,70447,9,0,0,40,1
87,30,4,1,7,0,4,1,32,4,255004,12,0,0,52,0
88,31,4,1,8,2,2,0,32,4,73585,11,0,0,45,0
89,25,4,1,6,2,11,0,32,4,135568,5,0,0,40,0
90,43,4,1,9,2,4,0,32,5,33729,13,0,0,45,1
91,28,4,1,11,2,12,0,32,4,346406,9,0,1672,50,0
92,38,4,0,15,0,4,3,32,4,252897,10,0,0,25,0
93,31,4,1,14,2,2,0,32,4,340880,15,0,0,60,1
94,26,2,1,9,4,2,3,40,2,220656,13,0,0,38,0
95,33,4,1,0,5,11,1,32,4,100154,6,0,0,40,0
96,47,4,1,11,2,4,0,32,4,168195,9,0,0,55,0
97,40,4,1,11,2,8,0,32,4,138975,9,0,0,56,0
98,31,4,1,11,0,8,1,32,6,113364,9,0,0,60,0
99,17,4,0,0,4,13,3,32,4,25690,6,0,0,10,0
100,33,4,1,15,2,3,0,32,2,154874,10,0,0,40,0
101,39,4,1,15,0,13,1,32,4,509060,10,0,0,40,0
102,32,4,1,11,4,12,4,32,4,174789,9,0,0,40,0
103,39,4,1,15,4,8,1,32,4,187847,10,0,0,40,0
104,51,4,1,8,2,8,0,32,4,99064,11,5013,0,40,0
105,24,4,0,7,4,1,3,32,4,169532,12,0,0,15,0
106,28,4,0,8,5,0,4,18,0,196630,11,0,0,40,0
107,26,4,1,15,2,8,0,32,6,86646,10,0,0,45,0
108,20,4,0,11,4,1,1,32,2,526734,9,0,0,30,0
109,44,4,1,14,2,2,0,32,6,282722,15,99999,0,50,1
110,35,2,0,11,5,6,4,32,4,219902,9,0,0,48,0
111,26,4,1,15,2,4,0,32,4,275703,10,0,0,40,0
112,31,4,0,8,4,13,4,32,4,225507,11,0,0,40,0
113,26,4,1,15,4,1,3,32,4,354784,10,0,0,20,0
114,32,2,0,9,0,9,4,32,6,267161,13,0,0,30,0
115,39,4,1,11,0,1,1,32,4,128715,9,10520,0,40,1
116,33,4,1,7,2,3,0,32,4,33117,12,0,0,40,0
117,22,1,0,15,4,0,3,28,0,31102,10,0,0,4,0
118,27,4,0,4,4,14,2,39,4,177955,3,2176,0,40,0
119,54,4,1,15,2,8,0,32,4,143822,10,0,0,45,1
120,40,4,1,9,2,9,0,32,4,79531,13,0,0,75,1
121,21,4,1,11,4,13,3,32,4,219086,9,0,0,35,0
122,30,4,1,11,2,3,0,32,4,203277,9,0,0,60,1
123,48,4,0,15,6,1,4,32,4,232840,10,0,0,43,0
124,32,4,1,15,2,4,0,32,4,152940,10,0,0,40,1
125,48,4,1,0,2,4,0,32,4,377757,6,0,0,70,0
126,39,2,0,8,0,9,4,32,4,255027,11,0,0,40,0
127,35,4,0,2,5,13,1,32,4,107160,8,0,0,30,0
128,38,4,1,9,2,2,0,32,4,219546,13,0,0,40,1
129,44,4,1,14,2,2,0,32,4,307468,15,0,0,29,1
130,25,1,1,9,4,4,3,34,4,139012,13,2174,0,40,0
131,35,4,0,11,4,0,1,32,0,476573,9,0,0,4,0
132,57,0,0,11,5,4,1,32,4,29375,9,0,0,35,0
133,43,4,1,11,2,8,0,32,4,152629,9,0,0,40,1
134,58,4,1,11,2,10,0,32,6,118253,9,0,0,70,0
135,22,4,0,15,4,11,3,32,4,207940,10,0,0,36,0
136,25,4,0,11,2,1,5,32,4,158662,9,0,0,50,1
137,31,4,1,15,4,1,2,32,4,91964,10,0,0,40,0
138,54,4,1,15,2,9,0,32,4,343242,10,0,0,44,1
139,19,4,1,15,4,1,3,32,4,183258,10,0,0,40,0
140,25,4,1,9,2,1,0,32,2,227886,13,0,0,40,0
141,51,4,1,0,3,8,2,32,4,210736,6,0,0,40,0
142,56,4,0,12,2,9,5,32,4,158752,14,0,0,50,0
143,41,4,1,15,2,4,0,32,4,153031,10,0,0,65,1
144,21,4,0,15,4,4,3,32,4,189013,10,0,0,35,0
145,27,4,1,4,4,10,4,5,4,150958,3,0,0,48,0
146,34,2,0,2,5,0,4,32,0,133278,8,0,0,53,0
147,40,4,0,6,0,0,4,36,0,224361,5,0,0,5,0
148,32,4,1,7,4,4,1,32,6,319280,12,0,0,80,0
149,57,4,1,5,0,13,1,32,2,323309,4,0,0,40,0
150,22,4,0,11,4,13,1,32,4,210474,9,0,0,40,0
151,35,4,1,11,2,10,0,32,4,156728,9,0,0,40,0
152,33,2,0,8,4,2,4,32,4,236818,11,0,0,26,0
153,38,4,1,15,0,8,1,32,4,278924,10,0,0,44,0
154,20,4,1,11,4,11,3,32,4,247564,9,0,0,35,0
155,51,4,0,6,5,13,2,32,2,114508,5,0,0,40,0
156,50,4,1,7,2,12,0,32,6,156951,12,3103,0,40,1
157,20,4,1,15,4,6,1,32,4,231981,10,0,0,32,0
158,38,4,1,9,4,13,1,32,4,195744,13,0,0,48,0
159,31,4,0,11,0,1,4,32,4,51471,9,0,0,38,0
160,17,4,1,0,4,10,3,32,6,181317,6,0,0,35,0
161,59,2,0,0,6,13,4,32,2,171328,6,0,0,30,0
162,71,4,1,0,2,8,0,32,6,238479,6,0,0,8,0
163,33,4,1,12,2,2,0,32,4,594187,14,0,0,45,1
164,36,4,1,11,2,10,0,32,5,180419,9,0,0,45,0
165,30,2,1,11,4,10,3,32,4,124187,9,0,0,60,0
166,58,4,1,12,0,4,1,32,6,164065,14,0,0,18,0
167,30,4,1,9,4,2,1,12,4,158420,13,0,0,50,0
168,25,1,0,6,3,1,4,34,4,150553,5,0,0,40,0
169,40,4,1,15,2,12,0,32,4,212847,10,0,2179,40,0
170,48,4,0,7,0,9,4,32,4,46677,12,0,0,42,0
171,19,4,1,15,4,4,1,32,4,184207,10,0,0,40,0
172,47,4,1,9,2,4,0,32,4,362835,13,0,0,60,1
173,24,4,1,9,4,0,3,32,0,283731,13,0,0,40,0
174,42,4,1,9,2,9,0,32,4,261929,13,7688,0,40,1
175,40,4,0,8,5,8,1,32,4,336707,11,0,0,60,0
176,42,4,1,12,4,9,1,32,4,210525,14,0,0,40,0
177,29,4,1,8,2,8,0,32,1,339002,11,0,0,40,1
178,21,4,1,11,4,10,1,32,4,83141,9,0,0,53,0
179,25,4,1,4,2,11,3,32,4,218667,3,0,0,40,0
180,53,4,1,11,2,8,0,32,6,240138,9,0,0,60,0
181,41,4,1,14,2,2,0,32,4,268183,15,0,0,45,1
182,38,4,1,15,0,9,1,32,4,22245,10,0,0,50,0
183,48,4,1,12,0,3,1,32,7,49595,14,0,0,72,0
184,22,4,1,11,4,13,3,32,4,237498,9,0,0,40,0
185,54,2,1,15,2,11,0,32,4,163894,10,0,0,40,0
186,50,4,1,12,2,4,0,32,6,68898,14,7688,0,55,1
187,43,4,1,12,2,2,0,32,2,36924,14,0,0,40,1
188,41,4,1,9,4,8,1,32,4,120277,13,0,0,40,0
189,34,4,1,15,4,1,1,32,4,316470,10,0,0,40,0
190,35,4,1,11,2,8,0,32,4,189922,9,0,0,40,0
191,58,4,1,15,2,4,0,32,4,49893,10,0,0,45,0
192,28,4,1,1,2,8,1,32,4,410216,7,0,0,60,1
193,69,4,1,14,2,1,0,32,7,50468,15,0,0,34,1
194,42,4,1,9,2,2,0,32,4,511068,13,7688,0,40,1
195,42,4,1,12,2,9,0,32,4,203554,14,0,0,60,1
196,85,4,0,11,6,4,1,32,6,166027,9,0,0,50,0
197,32,4,1,15,0,8,4,32,4,46746,10,0,0,40,0
198,23,2,1,11,4,1,3,32,4,213955,9,0,2001,40,0
199,28,4,1,11,0,1,1,32,4,411950,9,0,0,40,0
200,36,4,0,11,0,1,4,32,4,309122,9,0,0,35,0
201,34,4,0,15,4,1,3,32,4,269243,10,0,0,40,0
202,44,4,1,15,4,10,3,32,6,27242,10,0,0,60,0
203,59,4,1,11,2,1,0,32,4,328525,9,2414,0,15,0
204,22,1,0,15,4,8,2,34,4,117747,10,0,0,40,0
205,28,2,0,6,2,3,5,32,4,190350,5,0,0,40,0
206,57,4,0,15,2,8,5,32,4,334224,10,9386,0,40,1
207,46,2,0,11,4,13,1,32,7,312015,9,0,0,40,0
208,23,4,1,6,3,8,1,18,4,155919,5,0,0,40,0
209,65,4,0,15,6,1,1,32,4,129426,10,0,0,40,0
210,38,4,1,9,2,9,0,32,4,176101,13,0,0,40,0
211,38,4,1,9,2,8,0,32,2,210991,13,0,1740,40,0
212,38,1,1,9,2,2,0,10,7,125499,13,7688,0,60,1
213,66,4,1,0,2,3,0,32,4,263637,6,0,0,40,0
214,36,2,0,15,5,1,4,32,1,930948,10,6497,0,56,0
215,47,4,0,12,2,2,5,32,6,84735,14,0,0,20,1
216,70,4,1,11,2,0,0,32,0,133248,9,0,0,14,0
217,59,4,1,15,2,4,0,32,4,146013,10,4064,0,40,0
218,48,4,1,15,0,9,1,32,4,190072,10,0,0,50,1
219,63,4,1,11,2,8,0,32,6,106551,9,0,0,40,0
220,19,4,1,5,4,8,3,32,4,93604,4,0,1602,32,0
221,59,4,1,11,2,8,0,32,4,193335,9,0,0,40,1
222,24,4,1,11,4,4,1,32,4,153082,9,0,0,30,0
223,19,4,0,15,4,1,3,32,4,208656,10,594,0,20,0
224,72,4,1,15,2,8,0,32,6,203289,10,0,0,35,0
225,29,4,1,2,2,6,0,32,4,133136,8,0,0,40,1
226,46,4,1,4,2,12,0,18,4,216666,3,0,0,40,0
227,36,4,1,12,2,9,0,32,4,198841,14,0,0,40,1
228,18,4,0,2,4,4,3,32,4,162840,8,0,0,20,0
229,40,4,1,11,2,9,0,32,4,193882,9,0,0,45,1
230,36,4,0,15,0,4,4,32,4,194630,10,0,0,40,0
231,42,4,0,11,2,12,5,32,4,184837,9,7298,0,40,1
232,38,4,1,11,2,6,0,32,4,168322,9,0,0,60,0
233,21,4,0,15,4,4,3,32,4,275190,10,0,0,20,0
234,40,4,1,9,2,2,0,32,4,145441,13,0,0,40,1
235,24,4,1,13,4,10,1,18,4,243368,1,0,0,36,0
236,36,2,0,1,6,13,4,32,4,146625,7,0,0,12,0
237,48,4,1,8,2,9,0,32,4,83444,11,0,0,43,1
238,25,4,1,12,2,2,0,32,4,178025,14,0,0,40,0
239,30,4,0,8,2,1,5,32,4,217296,11,0,0,35,0
240,44,4,1,9,2,3,0,32,7,244974,13,0,0,44,1
241,53,4,1,14,2,2,0,32,6,33304,15,0,0,38,1
242,38,4,1,6,2,1,0,32,4,31964,5,0,0,40,0
243,44,4,1,7,5,9,1,32,4,152150,12,0,0,40,0
244,27,4,1,9,4,9,1,32,4,175387,13,0,1876,40,0
245,50,4,1,6,2,12,0,32,4,146310,5,0,0,40,0
246,28,4,1,1,2,10,0,32,4,269246,7,0,0,40,0
247,45,4,1,11,2,6,0,32,4,167523,9,0,2179,45,0
248,49,1,1,5,4,12,1,17,4,97411,4,0,0,45,0
249,37,4,1,11,2,1,0,32,4,185359,9,0,0,40,0
250,42,4,1,9,2,9,0,32,4,98211,13,15024,0,45,1
251,38,4,0,15,4,9,3,32,4,193372,10,0,0,40,0
252,31,0,1,6,4,8,3,32,4,25955,5,0,0,35,0
253,60,4,1,1,2,6,0,32,5,90915,7,0,0,40,1
254,33,4,0,15,0,9,4,32,4,118500,10,0,0,40,0
255,71,4,1,6,2,13,0,32,4,138145,5,0,0,40,0
256,37,4,1,15,2,9,0,32,5,342084,10,0,0,60,1
257,47,4,1,11,2,10,0,32,6,159869,9,0,0,56,1
258,31,4,0,9,2,1,5,32,6,286282,13,0,0,20,0
259,64,4,0,11,6,1,1,32,4,210082,9,0,0,40,0
260,57,4,0,11,4,1,2,32,4,262642,9,0,0,40,0
261,41,4,1,11,2,8,0,32,4,194360,9,0,1887,40,1
262,32,2,1,11,4,0,3,32,0,53042,9,0,0,40,0
263,39,4,1,11,5,8,4,32,4,174330,9,0,0,40,0
264,59,4,1,11,2,8,0,0,4,424468,9,0,0,40,0
265,41,4,1,15,0,3,1,32,2,169995,10,0,0,20,0
266,18,4,1,15,4,0,3,32,0,78567,10,0,0,30,0
267,63,4,1,9,2,4,0,32,4,383058,13,0,1848,40,1
268,33,4,1,15,2,13,0,32,4,34848,10,0,0,40,0
269,43,4,1,9,2,9,0,32,4,145441,13,0,0,50,1
270,35,4,1,11,2,0,0,32,0,61343,9,0,0,40,0
271,20,2,1,11,4,13,3,32,4,122215,9,0,0,52,0
272,24,4,0,8,4,1,3,32,4,218215,11,0,0,20,0
273,41,4,0,15,2,9,5,32,4,352812,10,0,1902,40,1
274,23,4,0,15,4,0,3,32,0,218415,10,0,0,10,0
275,40,4,0,15,5,13,4,32,4,183404,10,0,0,8,0
276,37,2,0,2,5,14,4,32,4,242713,8,0,0,40,0
277,47,4,0,11,0,4,4,32,4,207207,9,0,0,45,0
278,47,4,1,11,2,10,0,32,6,216657,9,0,0,60,0
279,38,4,1,9,4,2,3,32,4,186191,13,0,0,40,0
280,42,4,1,15,2,10,0,32,6,166813,10,0,0,60,0
281,54,4,1,9,0,10,1,32,6,28186,13,27828,0,50,1
282,19,4,1,6,4,8,2,32,4,175081,5,0,0,60,0
283,33,4,0,11,0,13,4,32,4,168030,9,0,0,32,0
284,28,4,1,15,4,9,1,32,5,114053,10,0,0,30,0
285,52,4,1,12,2,9,0,32,5,89041,14,15024,0,60,1
286,43,4,0,11,5,13,1,32,4,270522,9,0,0,26,0
287,72,4,1,15,2,0,0,11,0,402306,10,0,0,32,0
288,48,4,1,11,2,8,0,32,4,187715,9,0,0,46,0
289,53,4,1,12,2,9,0,32,4,152810,14,0,1977,55,1
290,60,4,1,11,0,12,1,32,4,184183,9,4650,0,40,0
291,41,4,1,15,2,9,0,32,6,157686,10,0,0,40,1
292,45,4,1,2,2,8,0,32,4,30289,8,0,0,40,0
293,41,4,1,11,4,12,1,32,4,209547,9,0,0,40,0
294,36,2,1,11,2,6,0,32,4,592930,9,0,0,50,1
295,35,4,1,12,4,9,1,32,4,102976,14,0,0,40,1
296,46,4,1,9,2,5,0,32,4,357338,13,0,0,40,0
297,45,4,0,11,0,1,2,32,7,130206,9,0,0,40,0
298,34,4,1,14,2,2,0,32,4,226443,15,0,0,55,1
299,44,1,0,7,4,9,1,32,4,297991,12,0,0,50,0
300,22,4,0,15,4,2,3,32,6,279802,10,0,0,3,0
301,44,2,0,11,0,1,4,32,4,103218,9,0,0,40,0
302,29,0,1,11,4,8,1,32,4,182521,9,0,0,40,0
303,22,4,1,6,3,13,2,18,4,554317,5,0,0,35,0
304,73,4,1,9,2,4,0,32,5,191540,13,0,0,50,1
305,18,4,1,0,4,0,3,32,0,152641,6,0,0,40,0
306,28,4,1,0,2,6,0,32,4,275116,6,0,0,40,0
307,32,2,1,11,0,0,4,32,0,981628,9,0,0,40,0
308,27,4,1,11,2,8,0,32,4,122038,9,0,0,48,0
309,18,4,0,2,4,1,3,32,4,270544,8,0,0,30,0
310,60,4,0,15,6,4,4,32,4,225883,10,0,0,27,0
311,21,4,0,15,4,13,3,32,4,57951,10,0,0,30,0
312,36,4,1,11,2,12,0,32,4,106964,9,0,0,40,0
313,24,4,0,15,4,4,3,32,4,183410,10,0,0,17,0
314,66,4,1,15,2,4,0,32,4,350498,10,0,0,28,0
315,56,4,0,11,6,4,1,32,4,105281,9,0,1974,40,0
316,55,4,0,15,5,9,4,32,4,118993,10,0,0,10,0
317,34,4,1,10,4,2,1,32,4,347166,16,0,0,50,1
318,55,4,1,11,2,2,0,32,4,266343,9,0,0,46,0
319,36,4,1,14,2,2,0,0,4,247558,15,5178,0,60,1
320,42,4,1,12,2,2,0,32,2,238188,14,0,0,35,1
321,55,4,1,9,2,4,0,32,5,141807,13,0,0,60,1
322,36,2,0,9,4,3,4,32,7,180752,13,0,0,40,0
323,21,4,0,7,4,13,3,32,4,176262,12,0,0,18,0
324,31,4,1,5,4,11,3,32,4,223212,4,0,0,50,0
325,47,4,1,11,2,6,0,32,2,200471,9,5178,0,40,1
326,38,4,0,11,2,9,5,32,4,478346,9,7688,0,40,1
327,21,4,1,2,4,11,3,32,4,136610,8,0,0,32,0
328,63,4,1,15,2,0,0,32,0,149698,10,0,0,15,0
329,56,4,0,9,6,13,1,32,4,108276,13,0,0,40,0
330,72,4,1,10,2,9,0,32,2,144515,16,0,1258,40,0
331,21,4,0,15,4,1,3,32,4,83033,10,2176,0,20,0
332,34,4,0,11,5,11,4,32,4,339142,9,0,0,40,0
333,41,4,1,11,0,8,1,32,6,26598,9,0,0,40,0
334,52,4,1,11,2,12,0,32,4,204447,9,4386,0,40,1
335,28,4,0,10,4,2,1,3,4,606111,16,0,0,60,1
336,47,4,1,12,5,9,1,32,4,168262,14,99999,0,50,1
337,20,4,1,11,4,11,3,32,4,201204,9,0,0,40,0
338,43,4,1,15,2,6,0,32,4,180985,10,0,0,60,1
339,24,4,1,11,4,11,3,32,4,119156,9,0,0,40,0
340,20,4,0,15,4,0,3,32,0,183083,10,0,0,20,0
341,47,4,1,11,2,6,0,32,4,386136,9,0,0,35,0
342,51,4,1,11,0,8,1,32,4,95128,9,0,0,40,0
343,32,2,0,9,4,2,3,0,6,261056,13,2174,0,60,0
344,34,4,1,11,2,13,0,32,2,43959,9,0,0,50,0
345,30,4,1,15,2,4,0,32,4,129707,10,0,1848,40,1
346,40,1,1,8,2,12,0,32,4,72887,11,0,0,40,1
347,30,4,1,9,2,2,0,32,2,169020,13,0,0,40,0
348,26,4,1,9,4,13,1,32,4,190330,13,0,0,30,0
349,50,4,1,11,2,8,0,32,4,129956,9,0,0,48,1
350,29,4,1,8,2,10,0,32,6,164607,11,0,0,50,0
351,52,1,1,9,2,8,0,32,4,145271,13,0,0,40,0
352,53,4,1,11,2,8,0,32,4,29658,9,0,0,40,1
353,38,4,1,9,2,2,0,32,4,43712,13,7298,0,60,1
354,53,4,1,9,2,2,0,32,4,135840,13,0,0,55,1
355,25,4,0,11,4,11,1,32,4,188119,9,0,0,40,0
356,44,4,1,14,2,2,0,32,5,311357,15,0,0,50,1
357,19,4,0,11,4,4,1,32,4,201178,9,0,0,30,0
358,82,4,1,15,6,4,1,32,5,120408,10,0,0,20,0
359,43,2,1,15,5,0,1,32,0,405374,10,0,0,40,0
360,53,4,0,11,6,4,1,32,4,161691,9,0,0,35,0
361,43,4,1,12,2,3,0,32,1,287008,14,0,0,35,1
362,18,4,1,0,4,10,3,32,6,258474,6,0,0,40,0
363,39,4,1,9,2,9,0,32,4,30529,13,0,1887,40,1
364,35,4,1,15,5,8,1,32,4,172186,10,0,0,40,0
365,19,1,1,11,4,13,2,32,4,271521,9,0,0,24,0
366,34,4,1,8,2,2,0,32,4,208043,11,7298,0,45,1
367,23,4,0,11,4,1,1,32,4,198996,9,0,0,40,0
368,39,2,1,12,0,2,1,37,2,239119,14,0,0,40,0
369,24,4,1,8,4,5,1,32,4,258298,11,0,0,45,0
370,21,4,1,7,4,13,3,32,4,182117,12,0,0,40,0
371,37,4,0,15,0,5,4,32,4,184556,10,0,0,40,0
372,35,4,1,11,0,6,1,32,4,231180,9,0,0,60,0
373,45,4,1,8,2,4,0,32,4,33300,11,0,1977,50,1
374,33,4,1,15,4,13,1,32,6,235271,10,0,0,35,0
375,21,2,1,11,2,12,0,32,4,278254,9,0,0,40,0
376,50,4,1,9,5,2,1,32,2,183390,13,0,0,40,1
377,29,4,1,6,4,12,1,32,4,83517,5,0,0,40,0
378,51,4,1,11,4,6,1,32,7,226885,9,0,0,40,0
379,30,4,0,11,4,9,1,32,4,269723,9,0,0,40,0
380,47,4,0,11,0,13,3,32,4,114770,9,0,0,32,0
381,35,4,1,11,0,8,1,32,4,189382,9,0,0,40,0
382,41,4,0,11,4,1,2,32,4,192712,9,0,0,40,0
383,55,4,1,0,2,8,0,32,4,101338,6,0,0,40,0
384,18,4,0,11,4,0,3,32,0,252046,9,0,0,30,0
385,47,4,1,11,2,8,0,32,4,168211,9,0,0,44,0
386,43,2,1,5,5,10,1,32,4,118001,4,0,0,40,0
387,23,4,1,15,2,8,0,32,4,109952,10,0,0,60,0
388,28,4,1,11,4,11,3,32,4,42734,9,0,0,40,0
389,42,4,1,11,0,4,4,32,5,184018,9,1151,0,50,0
390,38,4,1,6,2,11,0,32,4,257735,5,0,0,40,0
391,50,4,1,12,4,2,1,32,7,211319,14,0,0,38,0
392,47,4,0,15,0,13,4,32,4,145886,10,0,0,40,0
393,37,4,1,11,4,12,1,32,4,295127,9,0,0,40,0
394,38,4,0,7,0,1,1,32,4,343403,12,0,0,16,0
395,30,4,1,1,2,10,0,18,4,609789,7,0,0,60,0
396,25,2,1,11,2,6,0,32,4,88922,9,0,0,40,0
397,37,4,1,15,2,11,0,32,4,104359,10,0,0,40,0
398,21,4,0,11,3,9,2,32,4,176486,9,0,0,60,0
399,44,4,1,15,2,5,0,32,4,115562,10,0,0,40,0
400,42,4,0,8,0,1,1,32,4,345504,11,0,0,35,0
401,41,4,0,8,4,8,1,0,4,185057,11,0,0,40,0
402,48,4,0,9,2,2,5,32,2,334409,13,0,0,50,1
403,19,4,1,1,4,11,1,32,4,27433,7,0,0,40,0
404,21,4,0,1,4,2,1,32,4,210355,7,0,0,24,0
405,58,4,0,11,6,1,1,32,4,202652,9,0,0,37,0
406,18,4,0,11,4,4,3,32,4,41381,9,0,1602,20,0
407,24,4,1,9,4,4,1,15,4,258120,13,0,0,55,0
408,34,4,1,12,2,8,0,18,4,349169,14,0,0,40,0
409,26,4,1,11,2,11,0,32,4,168403,9,0,0,40,0
410,22,4,0,11,4,13,3,32,4,308334,9,0,0,19,0
411,51,4,1,11,2,8,0,32,4,33304,9,0,0,40,0
412,19,4,0,11,4,13,1,32,4,198320,9,0,0,45,0
413,43,4,1,11,2,4,0,32,5,225165,9,0,0,55,1
414,49,4,1,8,2,9,0,32,5,349230,11,0,0,60,1
415,28,4,1,1,4,0,1,32,0,113635,7,0,0,30,0
416,35,2,0,11,5,2,2,32,4,247547,9,0,0,40,0
417,51,2,1,11,4,8,1,32,4,202752,9,0,0,40,0
418,33,4,1,15,2,9,0,32,4,34975,10,0,0,45,0
